aardvark cerdo homiguero
aardvarks cerdo homigueros
ab abdominal
nutritions nutriciones
nutshell cáscara de nuez
nutshells cáscara de nueces
nutting malla
nybble mordisquito
nybbles mordisquitos
nylon nylon
nylons  medias de nylones
nymph ninfa
nymphomaniac ninfómano
nymphomaniacs ninfómanos
nymphs ninfas
oaf zoquete
oafs zoquetes
oak roble
oaks robles
oar remo
oaring remo
oars remos
oases oasises
oasis oasis
oat avena
oater nutria
oaters nutrias
oates avenas
oath juramento
oaths juramentos
oatmeal avena
oatmeals avenas
oats avenas
oaves zoquetes
obedience obediencia
obediences obediencias
obelise obelisco
obelises obeliscos
obelisk obelisco
obelisks obeliscos
obesity obesidad
obituaries obituarios
obituary obituario
object objeto
objectification cosificación
objection objeción
objections objeciones
objective objetivo
objectives objetivos
objectivities objetividades
objectivity objetividad
objects objetos
objet objeto
oblates oblato la oblatas
obligation obligación
obligations obligaciones
obliques barra inclinadas
oblivion olvido
oblivions olvidos
oblong rectángulo
oblongs rectángulos
oboe oboe
oboes oboes
obol oboe
obols oboes
obscurities oscuridades
obscurity oscuridad
observance observancia
observances observancias
observation observación
observations observaciones
observator observatorio
observatories observatorios
observators observatorios
observatory observatorio
observer observador
observers observadores
obsession obsesión
obsessions obsesiones
obsidian obsidiana
obstacle obstáculo
obstacles obstáculos
obstetrician obstetra
obstetricians obstetras
obstetrics obstetricias
obstruction obstrucción
obstructions obstrucciones
obtect objeto
oca oca
occasion ocasión
occasions ocasiones
occult lo oculto
occults lo ocultos
occupance ocupación
occupances ocupaciones
occupancies ocupaciones
occupancy ocupación
occupant ocupante
occupants ocupantes
occupation ocupación
occupations ocupaciones
occurrence suceso
occurrences sucesos
ocean océano
oceanography oceanografía
oceans océanos
oceanus océano
ocelot ocelote
ocelots ocelotes
ocher ocre
ocker ocre
octagon octágono
octagons octágonos
octans océanos
octave octava
octaves octavas
octopus pulpo
octopuses pulpos
octopush pulpo
od sobredosis
odal óvalo
oddball bicho raro
oddballs bicho raros
ode oda
odes odas
odometer cuentakilómetros
odometers cuentakilómetroses
odor olor
odour olor
ods sobredosises
odyssey odisea
odysseys Odiseas
oecology oncología
oeil petróleo
oeils petróleos
oems Omas
ofay visto bueno
ofays visto buenos
offal  asaduras
offals  asadurases
offence infracción
offender delincuente
offenders delincuentes
offense infracción
offenses infracciones
offensive ofensiva
offensives ofensivas
offer oferta
offeree oferta
offerer oferta
offerers ofertas
offering ofrenda
offerings ofrendas
offers ofertas
office oficina
officer oficial
officers oficiales
offices oficinas
official funcionario la funcionaria
officials funcionario la funcionarias
offseason temporada baja
offsets compensaciones
offside fuera de juego
offsider fuera de juego
offspring cría
offsprings crías
ogen aire libre
ogre ogro
ogres ogros
ohne uno
ohone ozono
oi oi
oil petróleo
oils petróleos
oinks gruñidos
ointment ungüento
ointments ungüentos
okapi okapi
okapis okapis
okays visto buenos
okra ocra
okras ocras
okta ocra
olde  personas mayores
oldie viejo éxito
oldies viejo éxitos
olds  personas mayoreses
oldy  personas mayores
oleander adelfa
oleanders adelfas
oleo margarina
olid  personas mayores
oligarch oligarquía
oligarchies oligarquías
oligarchs oligarquías
oligarchy oligarquía
olive aceituna
olives aceitunas
olivet aceituna
olivets aceitunas
olm  personas mayores
olympian deportista olímpico
olympians deportista olímpicos
om Oma
omber omer
ombudsman ombudsman
ombudsmen ombudsmanes
omega omega
omegas omegas
omelet omelette
omelets omelettes
omen presagio
omens presagios
omer omer
omers omeres
omission omisión
omissions omisiones
omne uno
omnes unos
omnibus ómnibus
omnibuses ómnibuses
omnivore omnívoro
omnivores omnívoros
oms Omas
omsk Oma
oncologist oncólogo
oncologists oncólogos
oncology oncología
oneness unidad
oners dueños
ones unos
onion cebolla
onions cebollas
oniony cebolla
onlooker espectador
onlookers espectadores
onomatopoeia onomatopeya
onomatopoeias onomatopeyas
onset comienzo
onsets comienzos
onslaught arremetida
onslaughts arremetidas
onst comienzo
onyx ónix
onyxes ónixes
oobit órbita
oobits órbitas
oolong té oolong
oolongs té oolongues
oom Oma
oose lodo
ooses oasises
ooze lodo
oozes lodos
op operación
opahs ópalos
opal ópalo
opals ópalos
opel aire libre
opener abridor
openers abridores
openest aire libre
openings aperturas
openness franqueza
opera ópera
operas óperas
operation operación
operations  operacioneses
operatise operario la operaria
operatises operario la operarias
operative operario la operaria
operatives operario la operarias
operatize operario la operaria
operatizes operario la operarias
operator operador
operators operadores
ophthalmologist oftalmólogo
ophthalmology oftalmología
opiates opiatos
oping operación
opinion opinión
opinions opiniones
opioid opioide
opium opio
opiums opios
opossum zarigüeya
opossums zarigüeyas
opponent adversario
opponents adversarios
opportunist oportunista
opportunists oportunistas
opportunities oportunidades
opportunity oportunidad
opposites lo contrarios
opposition oposición
oppositions oposiciones
oppression opresión
oppressions opresiones
oppressor opresor
oppressors opresores
ops operaciones
opthalmology oftalmología
optician óptico
opticians ópticos
optimises optimistas
optimism optimismo
optimist optimista
optimists optimistas
optimum lo óptimo
option opción
options opciones
optometrist optometrista
optometrists optometristas
optometry optometría
opulence opulencia
opus obra
opuses obras
orache oráculo
oraches oráculos
oracle oráculo
oracles oráculos
orals examen orales
orang naranja
orange naranja
orangeade naranjada
orangeades naranjadas
oranges naranjas
orangs naranjas
orangutan orangután
orator orador
oratories oratorios
orators oradores
oratory oratorio
orb esfera
orbi órbita
orbit órbita
orbits órbitas
orbs esferas
orc orco
orchard huerto
orchards huertos
orchestra orquesta
orchestras orquestas
orchid orquídea
orchids orquídeas
orchil orquídea
orchils orquídeas
orcs orcos
ordeal terrible experiencia
ordeals terrible experiencias
order orden
orderings organizaciones
orderlies camillero la camilleras
orders ordenes
ordinaires s
ordinals ordinales
ordinance ordenanza
ordinances ordenanzas
ordinaries s
ordinars s
ordinates ordinales
ordnances ordenanzas
ordures ordenes
ore mineral
oregano orégano
orfe mineral
orford zapato oxford
organ órgano
organisation organización
organisations organizaciones
organiser organizador
organisers organizadores
organises organismos
organism organismo
organisms organismos
organization organización
organizations organizaciones
organizer organizador
organizers organizadores
organs órganos
organza organza
organzas organzas
orgasm orgasmo
orgasms orgasmos
orgy orgía
orient Oriente
orientation orientación
orientations orientaciones
orienteering orientación
orients Orientes
orifice orificio
orifices orificios
origami papiroflexia
origin origen
originality originalidad
origins origenes
oriole oropéndola
orioles oropéndolas
ormer orden
ormers ordenes
ornament adorno
ornamenters adornos
ornaments adornos
ornithology ornitología
orphan huérfano
orphanage orfanato
orphanages orfanatos
orphans huérfanos
orthodontist ortodoncista
orthodontists ortodoncistas
orthograph ortografía
orthographies ortografías
orthographs ortografías
orthography ortografía
orthopedist ortopedista
orthopedists ortopedistas
orts avenas
osmoses ósmosises
osmosis ósmosis
osprey águila pescadora
ospreys águila pescadoras
osteoarthritis osteoartritis
osteoporosis osteoporosis
ostrich avestruz
ostriches avestruces
otaries ovarios
otherness otredad
otter nutria
otters nutrias
otto aceite esencial
ottos aceite esenciales
oubit órbita
oubits órbitas
oulong rectángulo
oulongs rectángulos
ounce onza
ounces onzas
out 
outage corte
outages cortes
outang excursión
outangs excursiones
outate corte
outback interior
outbox bandeja de salida
outboxes bandeja de salidas
outbreak brote
outbreaks brotes
outburnt arrebato
outburst arrebato
outbursts arrebatos
outcast marginado
outcaste marginado
outcastes marginados
outcasts marginados
outcome resultado
outcomes resultados
outcries protestas
outcry protesta
outerwear ropa de abrigo
outfield jardín
outfielder jardinero
outfielders jardineros
outfields jardínes
outfit traje
outfits traje
outhit traje
outhits trajes
outhouse letrina
outhouses letrinas
outings excursiones
outjet tomacorriente
outjets tomacorrientes
outjut producción
outjuts producciones
outlaid desembolso
outlaw bandido
outlaws bandidos
outlay desembolso
outlays desembolsos
outler tomacorriente
outlers tomacorrientes
outlet tomacorriente
outlets tomacorrientes
outlier caso aparte
outliers caso apartes
outlies contornos
outline contorno
outlook perspectiva
outlooks perspectivas
outpatient paciente externo
outpatients paciente externos
outplacement recolocación
outpost puesto de avanzada
outposts puesto de avanzadas
outpourings efusiones
output producción
outputs producciones
outrage atrocidad
outrages atrocidades
outrange atrocidad
outranges atrocidades
outrates atrocidades
outreach alcance
outreaches alcances
outrides exteriores
outs s
outsat principio
outset principio
outsets principios
outside exterior
outsider persona de afuera
outsiders persona de afueras
outsides exteriores
outskirts  afuerases
outwings excursiones
oval óvalo
ovalis óvalo
ovals óvalos
ovaries ovarios
ovary ovario
ovation ovación
ovations ovaciones
oven horno
ovens hornos
overachieves estudiante de alto rendimientos
overage excedente
overalls batas
overcatch cobertura
overcoat abrigo
overcoats abrigos
overcover vencedor
overcovers vencedores
overcrowding superpoblación
overdose sobredosis
overdoses sobredosises
overdraft descubierto
overdrafts descubiertos
overdrive superdirecta
overdrives superdirectas
overdrove superdirecta
overestimates sobrestimaciones
overfall bata
overfalls batas
overflow desagüe
overflowings desbordamientos
overflows desagües
overgall bata
overgalls batas
overgang alero
overgangs aleros
overhang alero
overhangs aleros
overhaul revisión
overhauls revisiones
overhead los gastos generales
overheads los gastos generaleses
overheld los gastos generales
overkill exceso
overkills excesos
overlaid revestimiento
overlard señor
overlards señores
overlay revestimiento
overlays revestimientos
overload sobrecarga
overloads sobrecargas
overlock mirador
overlocking mirador
overlocks miradores
overlord señor
overlords señores
overloud sobrecarga
overpage excedente
overpass paso a desnivel
overpasses paso a desniveles
overpast paso a desnivel
overpayment pago excesivo
overpayments pago excesivos
overpeer capataz
overpeers capataces
overpopulation sobrepoblación
overread los gastos generales
overreads los gastos generaleses
overridden anulación
override anulación
overrider anulación
overriders anulaciones
overrides anulaciones
overrun exceso
overruns excesos
overseer capataz
overseers capataces
overside anulación
oversight descuido
oversights descuidos
overthrew derrocamiento
overthrows derrocamientos
overtimer  horas extras
overtimers  horas extrases
overtimes  horas extrases
overuse uso excesivo
overuses uso excesivos
overview visión de conjunto
overviews visión de conjuntos
overwatch cobertura
overwatches coberturas
overweigh exceso de peso
overweighs exceso de pesos
overweights exceso de pesos
overword trabajo excesivo
overwords señores
overwore trabajo excesivo
overwork trabajo excesivo
overworks trabajo excesivos
ovulation ovulación
ovulations ovulaciones
ovum óvulo
owl búho
owlers dueños
owls búhos
owner dueño
owners dueños
ownership propiedad
ownerships propiedades
ox buey
oxen buey
oxford zapato oxford
oxide óxido
oxime óxido
oxtail rabo de buey
oxtails rabo de bueyes
oxus obra
oxy buey
oxygen oxígeno
oxymoron oxímoron
oxymorons oxímorones
oyster ostra
oysters ostras
ozone ozono
pa papá
pabst pasado
pace paso
pacemaker marcapasos
pacemakers marcapasoses
paces pasos
pacifier chupete
pacifiers chupetes
pacifist pacifista
pacifists pacifistas
pacing caminar de un lado para otro
pack manada
package paquete
packages paquetes
packaging embalaje
packagings embalajes
packer embalador
packers embaladores
packet paquete
packeting paquete
packets paquetes
packing embalaje
packings embalajes
packs manadas
packway avenida
packways avenidas
pact pacto
pacts pactos
pad almohadilla
padang almohadilla
paddies arrozales
padding relleno
paddings rellenos
paddle remo
paddles remos
paddlings remos
paddock potrero
paddocks potreros
paddy arrozal
padlock candado
padlocking candado
padlocks candados
pads almohadillas
paediatrician pediatra
paediatrics pediatrías
paeon peón
paeonies peonías
paeony peonía
pagan pagano la pagana
pagans pagano la paganas
page página
pageant desfile
pageantries pompas
pageantry pompa
pageants desfiles
pager buscapersonas
pagers buscapersonases
pages páginas
pagger buscapersonas
paggers buscapersonases
pagoda pagoda
pagodas pagodas
paidle remo
paidles remos
paigles cubos
paik parque
paiking estacionamiento
paiks los dobleses
pail cubo
pails cubos
pain dolor
paine dolor
paining dolor
painkiller analgésico
painkillers analgésicos
pains molestias
paint pintura
paintball paintball
paintbrush pincel
painter pintor
painters pintores
paintier pintor
painting cuadro
paintings cuadros
paints pinturas
paintures pintores
painty pintura
pair par
pairings parejas
pairs los dobleses
paisley estampado de cachemir
paisleys estampado de cachemires
pakistani pakistanís
pakistanis pakistanís
pal amigo
palace palacio
palaces palacios
paladin paladín
paladins paladínes
palaeontologist paleontólogo
palases palacios
palate paladar
palates paladares
palatines paladínes
pale estaca
palest estaca
palestinian palestino
palestinians palestinos
palet estaca
palette paleta
palettes paletas
paley estaca
paliest estaca
palindrome palíndromo
palindromes palíndromos
palisade empalizada
palisades empalizadas
palkees estacas
pall paño mortuorio
pallbearer portador de féretro
pallbearers portador de féretros
pallet palé
pallets palés
palliament parlamento
palliative paliativo
palliatives paliativos
palling paño mortuorio
pallor palidez
palls paño mortuorios
palm palma
palmes palmas
palmette paleta
palmettes paletas
palmetto palmito
palmettoes palmitos
palmettos palmitos
palming palma
palms palmas
palpitation palpitación
palpitations  palpitacioneses
pals amigos
palsies parálisises
palsy parálisis
palsying parálisis
pamphlet folleto
pamphlets folletos
panache garbo
panaches garbos
panamanians panameño la panameñas
pancake panqueque
pancakes panqueques
pancaking panqueque
pancheon panteón
pancheons panteónes
pancreas páncreas
pancreases páncreases
pand sartén
pandemics pandemias
pandemonium pandemonio
pandemoniums pandemonios
pandies calzónes
pandit experto
pandits expertos
pands jadeos
pane vidrio
panel panel
panels paneles
pang punzada
pangen punzada
pangens punzadas
panging punzada
pangs punzadas
panhandle brazo de terreno que entra en otro estado
panhandles brazo de terreno que entra en otro estados
panhandling brazo de terreno que entra en otro estado
panic pánico
panick pánico
panicking pánico
panickings pánicos
panics pánicos
panim pánico
panisc pánico
paniscs pánicos
panky meñique
panne vidrio
panning sartén
pannings sarténes
pans sarténes
pansies pensamientos
pansy pensamiento
pant jadeo
pantheon panteón
pantheons panteónes
panther pantera
panthers panteras
pantie calzón
panties calzónes
pantiles calzónes
pantings jadeos
pantler pantera
pantomime pantomima
pantomimes pantomimas
pantries despensas
pantry despensa
pants jadeos
pantsuit traje de chaqueta y pantalón
pantsuits traje de chaqueta y pantalónes
panty calzón
pap frotis
paparazzo paparazzi
paper papel
paperback libro en rústica
paperbacking libro en rústica
paperbacks libro en rústicas
paperer papel
paperers papeles
paperings papeles
papers papeles
paperweight pisapapeles
paperweights pisapapeleses
paperwork papeleo
papes frotises
papier papel
papish parroquia
papishes parroquias
papped pum
papping pum
pappy papi
paprika paprika
paprikas paprikas
paps frotises
papulation población
papyri papiro
papyrus papiro
papyruses papiros
parables parábolas
parabola parábola
parabole parábola
paraboles parábolas
parachute paracaídas
parachutes paracaídases
parade desfile
parades desfiles
paradigm paradigma
paradigms paradigmas
paradise paraíso
paradises paraísos
paradox paradoja
paradoxer paradoja
paradoxers paradojas
paradoxes paradojas
paradoxy paradoja
parafle parábola
parafles parábolas
parages desfiles
paraglider parapente
paragliders parapentes
paragliding parapente
paragon dechado
paragons dechados
paragraph párrafo
paragraphing párrafo
paragraphs párrafos
paraguayans paraguayos
parakeet perico
parakeets pericos
paralegal ayudante de abogado
parallel paralelismo
parallelise paralelismo
parallelises paralelismos
parallelism paralelismo
parallelist paralelismo
parallelists paralelismos
parallelogram paralelogramo
parallelograms paralelogramo
parallels paralelismos
paralysers parálisises
paralyses parálisises
paralysis parálisis
paramedic paramédico
paramedics paramédicos
parameter parámetro
parameters parámetros
paramilitaries paramilitar la paramilitares
paranetes parapetos
paranormal lo paranormal
parapet parapeto
parapets parapetos
paraphrase paráfrasis
paraphraser paráfrasis
paraphrasers paráfrasises
paraphrases paráfrasises
paraplegic parapléjico la parapléjica
paraplegics parapléjico la parapléjicas
parasailing parasail
parasite parásito
parasites parásitos
paravail parapente
parcel paquete
parcels paquetes
parchment pergamino
parchments pergaminos
parchmenty pergamino
pard leopardo
pardner socio
pardners socios
pardon perdón
pardoner perdonador
pardoners perdonadores
pardons perdónes
pards leopardos
pardy fiesta
parent padre
parentheses paréntesises
parenthesis paréntesis
parenthesise paréntesis
parenthesises paréntesises
parenthesising paréntesis
parenthood paternidad
parenting crianza de los hijos
parentis los padres
parents los padreses
parer pelador
parers peladores
parfait parfait
parfaits parfaits
pargasite parásito
pargasites parásitos
parges partes
parging estacionamiento
pariah paria
pariahs parias
parish parroquia
parishen parroquia
parishens parroquias
parishes parroquias
parishioner feligrés
parishioners feligréses
parisians parisinos
parison prisión
parisons prisiones
parities paridades
parity paridad
park parque
parka parka
parkas parkas
parkee parque
parkees parques
parkin estacionamiento
parking estacionamiento
parkins estacionamientos
parkish parroquia
parks parques
parkway avenida
parkways avenidas
parler pelador
parley parlamento
parleys parlamentos
parliament parlamento
parliaments parlamentos
parlies fiestas
parling estacionamiento
parlor salón
parlors salónes
parlour salón
parmesan parmesano
parodies parodias
parody parodia
parole libertad condicional
parolees libertad condicionales
paroles libertad condicionales
parping estacionamiento
parquet parquet
parqueting parquet
parquets parquets
parries paradas
parrish parroquia
parrot loro
parrots loros
parroty loro
pars pares
parsley perejil
parsnip chirivía
parsnips chirivías
parson clérigo
parsons clérigos
part parte
parter parte
parters partes
participant participante
participants participantes
participation participación
participations participaciones
participle participio
participles participios
particle partícula
particles partículas
particulars detalles
particulates detalles
parties fiestas
parting despedida
partings despedidas
partisans partisanos
partition tabique
partitioner tabique
partitions tabiques
partizan partisano
partner socio
partnering socio
partners socios
partnership asociación
partnerships asociaciones
parton cliente
partridge perdiz
partridges perdices
parts partes
parture pasto
party fiesta
parvovirus parvovirosis
parvoviruses parvovirosises
pas paso de ballet
pascal Pascal
pascals Pascales
pasch parche
pass paso
passade pasaje
passades pasajes
passage pasaje
passages pasajes
passageway pasaje
passageways pasajes
passee paso
passenger pasajero
passengers pasajeros
passer pasador
passerby transeúnte
passeres pasadores
passers pasadores
passes pasos
passibility posibilidad
passings fallecimientos
passion pasión
passioning pasión
passions pasiones
passive voz pasiva
passiveness pasividad
passives voz pasivas
passport pasaporte
passports pasaportes
passu paso
passus paso
password contraseña
passwords contraseñas
passy paso
past pasado
pasters pósteres
pastes pastas
pastier empanada
pasties empanadas
pastiest empanada
pastime pasatiempo
pastimes pasatiempos
pastises pasatiempos
pastrami pastrami
pastramis pastrami
pastry pastel
pasts pasados
pasture pasto
pastures los horizonteses
pasturing pasto
pat palmadita
patch parche
patches parches
patching parche
patchings parches
patchwork labor de retazos
patchworking labor de retazos
patchworks labor de retazoses
pate coronilla
patella rótula
patellae rótula
patellar rótula
patellas rótulas
patellate rótula
patent patente
patents patentes
pater papi
paternities paternidades
paternity paternidad
paters papis
pates palmaditas
path camino
pathe camino
pathfinder explorador
pathfinders exploradores
pathogen agente patógeno
pathogens agente patógenos
pathogeny agente patógeno
pathologies patologías
pathologist patólogo
pathologists patólogos
pathology patología
pathos patetismo
paths caminos
pathway camino
pathways caminos
patience paciencia
patiences paciencias
patient paciente la paciente
patients paciente la pacientes
patina pátina
patisserie pastelería
patois criollo
patriarch patriarca
patriarchies patriarcados
patriarchs patriarcas
patriarchy patriarcado
patrimonies patrimonios
patrimony patrimonio
patriot patriota
patriotism patriotismo
patriots patriotas
patrol patrulla
patroller patrulla
patrolling patrulla
patrology patología
patrols patrullas
patron cliente
patronage mecenazgo
patronages mecenazgos
patroness patrocinadora
patronesses patrocinadoras
patroon cliente
pats palmaditas
patsies chivo expiatorios
patsy chivo expiatorio
pattee golpeteo
patter golpeteo
patterer golpeteo
pattering golpeteo
pattern patrón
patterns patrónes
patters golpeteos
pattes partes
patti hamburguesa
patties hamburguesas
pattles hamburguesas
patton cliente
patty hamburguesa
patzer papi
patzers golpeteos
paucity escasez
paulette paleta
paume pausa
pauper pobre
pauperis pobre
paupers pobres
pause pausa
pausings pausas
pavans pagano la paganas
pavement pavimento
pavements pavimentos
paver papel
pavers papeles
pavilion pabellón
pavilioning pabellón
pavilions pabellónes
pavin dolor
pavings pavimentos
pavingstone adoquín
paw pata
pawaw asimina
pawaws asiminas
pawk parque
pawks parques
pawn peón
pawning sartén
pawns peónes
pawnshop casa de empeños
pawnshops casa de empeñoses
pawpaw asimina
pawpaws asiminas
paws patas
pax beso de la paz
paxes beso de la paces
pay paga
payday día de paga
paydays día de pagas
payee beneficiario
payees beneficiarios
payer pagador
payers pagadores
payment pago
payments pagos
payne vidrio
payoff pago
payoffs pagos
payroll nómina
payrolls nóminas
paysage pasaje
paysages pasajes
pc PC
pea arveja
peace paz
peacefulness tranquilidad
peacemaker pacificador
peacemakers pacificadores
peaces paces
peach durazno
peacher durazno
peachers duraznos
peaches duraznos
peaching durazno
peachy durazno
peacock pavo real
peacocking pavo real
peacocks pavo reales
peacocky pavo real
peacods vaina de arvejas
peag arveja
peags arvejas
peak cumbre
peake paz
peaks cumbres
peal repique
peals repiques
peans arvejas
peanut maní
peanuts una miserias
peapods vaina de arvejas
pear pera
pearce paz
peare paz
pearl perla
pearlers perlas
pearlin perla
pearling perla
pearlings perlas
pearlins perlas
pearls perlas
pears peras
pearson persona
pearter parte
peas arvejas
peasant campesino
peasants campesinos
peason persona
peasy arveja
peat turba
peats turbas
peau arveja
peaze paz
pebas arvejas
pebble guijarro
pebbles guijarros
pec pluma
pecan pacana
pecans pacanas
pecker verga
peckers vergas
peckings picotazos
pecks picotazos
pedagog pedagogía
pedagogs pedagogías
pedagogy pedagogía
pedal pedal
pedaller pedal
pedals pedales
peddlar vendedor ambulante
peddlars vendedor ambulantes
peddler vendedor ambulante
peddlers vendedor ambulantes
pedestal pedestal
pedestals pedestales
pedestrian peatón
pedestrians peatónes
pediatrician pediatra
pediatrics pediatrías
pedicure pedicura
pedicures pedicuras
pedigree pedigrí
pedigreed pedigrí
pedigrees pedigrís
pedlar vendedor ambulante
pedlars vendedor ambulantes
pedlary vendedor ambulante
pedometer podómetro
pedometers podómetros
pedophile pedófilo
peebles guijarros
peek vistazo
peekaboo cucú
peekaboos cucús
peeks vistazos
peeler pelador
peelers peladores
peelings  cáscarases
peels cáscaras
peen cotillo
peens cotillos
peeoy pis
peep pío
peephole mirilla
peepholes mirillas
peeps píos
peepy pío
peeries sidra de perases
peers pares
peery par
pees pises
peeve fastidio
peeves fastidios
peewee pequeño
peewees pequeños
pegboard tablero de clavijas
pegboards tablero de clavijases
peggings ganchos
peggy cerdito
pein pluma
peizes premios
peke pequinés
pekes pequinéses
pelican pelícano
pelicans pelícanos
pellet bolita
pellets bolitas
pelt piel
pelter pito
pelters Pedros
pelts pieles
pelves pelvises
pelvis pelvis
pelvises pelvises
pemican pelícano
pemicans pelícanos
pen pluma
penalties castigos
penalty castigo
penance penitencia
penances penitencias
pencel lápiz
pencels lápices
penchant inclinación
penchants inclinaciones
pencil lápiz
penciller lápiz
pencils lápices
pend pluma
pendant colgante
pendants colgantes
pends plumas
pendulum péndulo
pendulums péndulos
penetration penetración
penetrations penetraciones
penguin pingüino
penguins pingüinos
penh pluma
peni plumas
penicillin penicilina
peninsula península
penis pene
penises penes
penitences penitentes
penitentiaries penitenciarías
penitentiary penitenciaría
penitents penitentes
penk pluma
penknife navaja
penknives navajas
penks plumas
penmanship caligrafía
pennant banderín
pennants banderínes
penne penne
penny centavo
pennyroyal poleo
pennyroyals poleos
penpusher oficinista
penpushers oficinistas
pens plumas
pensant campesino
pensants campesinos
pension pensión
pensioner pensionista
pensioners pensionistas
pentagon pentágono
pentagons pentágonos
penthouse ático
penthouses áticos
penultima penúltima
penzance penitencia
peon peón
peonies peonías
peony peonía
people pueblos
peoples pueblos
pep energía
peperoni pepperonis
peperonis pepperoni
pepper pimienta
peppercorn grano de pimienta
peppercorns grano de pimientas
peppercorny grano de pimienta
pepperer pimienta
peppermint menta
peppermints mentas
pepperoni pepperonis
pepperonis pepperoni
peppers pimientas
peps energías
perceant por ciento
percent por ciento
percentage porcentaje
percentages porcentajes
percenter por ciento
percentile percentil
percentiles percentiles
percents por cientos
percept por ciento
perception percepción
perceptions percepciones
percepts por cientos
perch percha
perches perchas
percussion percusión
percussionist percusionista
percussionists percusionistas
percussions percusiones
percy percha
perdition perdición
perennials planta perennes
perfecti tiempo perfectos
perfection perfección
perfectionist perfeccionista
perfectionists perfeccionistas
perfections perfecciones
perfects tiempo perfectos
perfidies perfidias
perfidy perfidia
performance rendimiento
performances rendimientos
performer artista
performers artistas
perfume perfume
perfumes perfumes
perfuses perfumes
pergola pérgola
pergolas pérgolas
pericarditis pericarditis
pericles peligros
pericope periscopio
peridot peridoto
peridots peridotos
peril peligro
perils peligros
perimeter perímetro
perimeters perímetros
period periodo
periodicals publicación periódicas
periods periodos
peripherals periféricos
peripheries periferias
periphery periferia
peripteral periférico
periptery periferia
periscope periscopio
periscopes periscopios
peristalsis peristalsis
peritonitis peritonitis
periwinkle vincapervinca
periwinkles vincapervincas
perjuries perjurios
perjury perjurio
perkins beneficios
perks beneficios
perm permanente
permafrost permafrost
permanence permanencia
permanences permanencias
permian persa
permission permiso
permissions permisos
permit permiso
permits permisos
permitter permiso
perms permanentes
pernod periodo
peroxide peróxido
peroxides peróxidos
perpendiculars perpendiculares
perpent por ciento
perpents por cientos
perpetrator autor
perpetrators autores
perpetuator autor
perpetuators autores
perriers sidra de perases
perries sidra de perases
perron escalinata de acceso
perry sidra de peras
perse cartera
persecution persecución
persecutions persecuciones
persecutor perseguidor
persecutors perseguidores
persecutory perseguidor
perses carteras
perseverance perseverancia
perseverances perseverancias
persians persas
persimmon caqui
persimmons caquis
persistence perseverancia
persistences perseverancias
persistency perseverancia
person persona
personae imagenes
personage personaje
personages personajes
personalities los personalismoses
personality personalidad
personification personificación
personifications personificaciones
personnel personales
personnels personales
persons personas
perspective perspectiva
perspectives perspectivas
perspiration transpiración
persuasion persuasión
persuasions persuasiones
perth percha
pertinence pertinencia
pertinency pertinencia
peruvians peruano la peruanas
perve fastidio
perversion perversión
perversions perversiones
pervert pervertido
perverts pervertidos
pesach durazno
pessaries pesarios
pessary pesario
pessimism pesimismo
pessimist pesimista
pessimists pesimistas
pest peste
pesthouse ático
pesthouses áticos
pesticide pesticida
pesticides pesticidas
pestle mano del mortero
pestles mano del morteros
pests pestes
pet mascota
petal pétalo
petaline pétalo
petals pétalos
petcock pavo real
petcocks pavo reales
peter pito
peters Pedros
petitio petición
petition petición
petitioner peticionario
petitioners peticionarios
petitions peticiones
petre pito
petrol gasolina
petroleum petróleo
petroleur petróleo
petrolling patrulla
petrols gasolinas
pets mascotas
petter pito
petters golpeteos
petticoat enagua
petticoats enaguas
petting  caricias
pettings  cariciases
pettle mano del mortero
pettles pétalos
petunia petunia
petunias petunias
peu pluma
peuple pueblo
pew banco
pews bancos
pewter peltre
pewters peltres
peyote peyote
phaenomena fenómeno
phaenomenon fenómeno
phage página
phages páginas
phalanger falange
phalangers falanges
phalanges falanges
phalanx falange
phalanxes falanges
phalli falos
phallus falo
phalluses falos
phantoms fantasmas
phantomy fantasma
pharaoh faraón
pharaohs faraónes
pharmaceuticals producto farmacéuticos
pharmacies farmacias
pharmacist farmacéutico
pharmacists farmacéuticos
pharmacology farmacología
pharmacy farmacia
pharynges faringes
pharyngitis faringitis
pharynx faringe
pharynxes faringes
phase fase
phases fases
phasma plasma
phat palmadita
pheasant faisán
pheasants faisánes
pheer par
pheers pares
phene teléfono
phenetics fonéticas
phenician fenicio
phenology fonología
phenomen fenómenos
phenomena fenómenos
phenomenon fenómeno
pheon peón
pheromone feromona
pheromones feromonas
phi pi
philanthrope filantropía
philanthropes filantropías
philanthropies filantropías
philanthropist filántropo
philanthropists filántropos
philanthropy filantropía
philology filología
philosoph filosofía
philosophe filosofía
philosopher filósofo
philosophers filósofos
philosophes filósofos
philosophies filosofías
philosophise filosofía
philosophises filosofías
philosophy filosofía
phlebotomises flebotomías
phlebotomy flebotomía
phlegm flema
phleum flema
phobia fobia
phobias fobias
phobos fotos
phoebe sayornis
phoebes sayornises
phoenician fenicio
phoenicians fenicios
phoenix fénix
phoenixes fénixes
phoh caca
phon teléfono
phone teléfono
phonecall llamada
phonecalls llamadas
phoneme fonema
phonemes fonemas
phoners teléfonos
phones teléfonos
phonetics fonéticas
phonics método fónico de lectoescrituras
phonies farsante la farsantes
phonograph fonógrafo
phonographs fonógrafos
phonology fonología
